1.375 0.25 1.25 0
1.5 0.5 1.375 0.25
1.25 0 1.5 0
1.625 0.25 1.5 0.5
1.375 0.25 1.5 0.5
1.875 0.25 2 0.333333
1.375 0.75 1.5 0.5
1.375 0.75 1.125 0.75
1.25 0.5 1.375 0.75
1.5 0.5 1.25 0.5
1.33333 1 1.625 0.75
1.375 0.75 1.33333 1
1.125 0.75 1.375 0.75
1.375 0.75 1.25 0.5
1.5 0.5 1.375 0.75
1.625 0.75 1.66667 1
1.71429 -0.857143 1.625 -0.75
1.625 -0.75 1.75 -0.5
1.5 -0.5 1.625 -0.75
1.625 -0.75 1.5 -0.5
1.42857 -0.714286 1.625 -0.75
1.625 -0.75 1.42857 -0.714286
2 -0.666667 1.75 -0.5
1.75 -0.5 2 -0.666667
2 -0.333333 1.75 -0.5
1.625 -0.25 1.375 -0.25
1.5 -0.5 1.625 -0.25
1.75 -0.5 1.875 -0.75
1.75 -0.5 1.625 -0.25
1.625 -0.25 1.75 -0.5
1.625 -0.25 1.5 -0.5
1.875 -0.25 1.625 -0.25
1.5 -0.5 1.75 -0.5
1.75 -0.5 1.875 -0.25
1.5 0 1.625 0.25
1.75 0 1.5 0
1.625 0.25 1.375 0.25
1.625 -0.25 1.75 0
1.375 0.25 1.5 0
1.5 0 1.625 -0.25
1.75 0 1.625 0.25
1.625 0.25 1.75 0
1.625 0.25 1.5 0
1.75 0.5 1.625 0.25
1.5 0 1.75 0
2 0 2 0.333333
2 0.333333 1.75 0.5
1.75 0.5 2 0.333333
2 0.666667 1.75 0.5
1.625 0.75 1.375 0.75
1.5 0.5 1.625 0.75
1.75 0.5 1.875 0.25
1.66667 1 1.875 0.75
1.625 0.75 1.33333 1
1.375 0.75 1.625 0.75
1.625 0.75 1.5 0.5
1.75 0.5 1.625 0.75
1.875 0.75 2 1
2 -0.666667 1.875 -0.75
1.875 -0.75 1.75 -0.5
1.625 -0.75 1.875 -0.75
1.875 -0.75 1.625 -0.75
1.71429 -0.857143 1.875 -0.75
1.875 -0.75 2 -1
1.75 0 1.875 -0.25
1.875 -0.25 1.75 0
1.625 -0.25 1.875 -0.25
1.875 -0.25 1.75 -0.5
2 -0.333333 1.875 -0.25
1.875 -0.25 2 0
2 0.333333 1.875 0.25
1.875 0.25 1.75 0.5
1.625 0.25 1.875 0.25
1.875 0.25 1.625 0.25
1.75 0 1.875 0.25
1.875 0.25 2 0
2 1 1.875 0.75
1.875 0.75 1.66667 1
1.625 0.75 1.875 0.75
1.875 0.75 1.75 0.5
2 0.666667 1.875 0.75
1.875 0.75 2 0.666667
